feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated,xgboost,1,3,43.14260989616582,17.136279036191347,0.8992683968061178,317.0,100.246183498791
curated,xgboost,1,4,38.75132023326524,16.876473339982383,0.8845913660129766,317.0,88.94175947314245
curated,xgboost,2,0,39.27317468205393,18.74230635295364,0.9024640424758326,318.0,81.65739350964823
curated,xgboost,2,1,41.79441503209081,17.414998731778024,0.8744066460635442,317.0,90.6819515791485
curated,xgboost,2,2,42.02631537139177,17.42749961550547,0.8966503634917913,317.0,94.28461851583751
curated,xgboost,2,3,37.370164117675515,15.99899399720586,0.919648620063566,317.0,77.99443418830823
curated,xgboost,2,4,36.45155151109485,16.92876434533345,0.9131951060879789,317.0,67.18821685550012
curated (log),ensemble,0,0,34.66716171764948,16.923084673516605,0.9323205302091953,318.0,76.44195320025277
curated (log),ensemble,0,1,31.315755250266132,15.872095451482146,0.9372144290666982,317.0,57.29818179197978
curated (log),ensemble,0,2,35.66430607741453,16.342469956082166,0.9074241916341369,317.0,69.59521286867952
curated (log),ensemble,0,3,26.913389561194016,15.074238523895968,0.9375944617270552,317.0,61.00662863788014
curated (log),ensemble,0,4,42.84043556938443,20.93661307671422,0.9109532330453651,317.0,88.13546140818875
curated (log),ensemble,1,0,30.75711308656755,15.767239012298798,0.9490383689812956,318.0,63.97684428290296
curated (log),ensemble,1,1,38.39127419035372,17.575864960646896,0.8986185857582434,317.0,74.4000622337712
curated (log),ensemble,1,2,33.536803998077254,16.70512861259697,0.9245996435429222,317.0,66.35305353984586
curated (log),ensemble,1,3,39.3127435409977,18.384514728821962,0.9163589214495416,317.0,90.47332511012597
curated (log),ensemble,1,4,31.04893828846233,15.116135152710255,0.9259101351680439,317.0,69.66828970203568
curated (log),ensemble,2,0,36.27894450627321,18.13071731673203,0.9167695927091652,318.0,76.299988433883
curated (log),ensemble,2,1,37.72746237009238,18.786497904314615,0.8976600158556031,317.0,82.80480665955463
curated (log),ensemble,2,2,38.31120809544908,18.24852418189924,0.9141148620905629,317.0,84.9548098195797
curated (log),ensemble,2,3,33.161766775959755,16.10855188534376,0.9367269673362777,317.0,70.6601201962053
curated (log),ensemble,2,4,33.67679504999362,17.012889398752154,0.9259075966964645,317.0,64.12380748335367
curated (log),mlp,0,0,33.15411649344821,17.11212505759193,0.9380993380658595,318.0,69.54656757476901
curated (log),mlp,0,1,32.30803439355964,16.453118795268153,0.9331725113876461,317.0,58.336987556061274
curated (log),mlp,0,2,39.52882791096778,18.057924041108794,0.8862745064214544,317.0,77.82523153296839
curated (log),mlp,0,3,30.947768396103466,17.817643943959002,0.9174826990460027,317.0,67.03649707263762
curated (log),mlp,0,4,55.203033014713,25.928460100167825,0.8521449099623434,317.0,116.03976370612956
curated (log),mlp,1,0,33.808640995643906,16.168527534867316,0.9384245481009761,318.0,68.78943276786728
curated (log),mlp,1,1,46.04644330421974,18.57445916478339,0.8541570390406389,317.0,95.23162726380498
curated (log),mlp,1,2,33.484713597667785,15.784588768482248,0.9248336899653092,317.0,66.16822506093824
curated (log),mlp,1,3,46.20487165255073,22.564554817242662,0.8844610399135037,317.0,107.06799073709149
curated (log),mlp,1,4,31.13173746407244,14.775649028275812,0.9255144527579097,317.0,69.76565365749266
curated (log),mlp,2,0,40.602333777104285,19.622201404102174,0.8957503207495368,318.0,85.78769029243334
curated (log),mlp,2,1,42.81805714982425,22.810793513963866,0.8681791611073498,317.0,88.76599063304386
curated (log),mlp,2,2,42.78713713557354,19.918753123298355,0.8928745199254342,317.0,97.49048899811321
curated (log),mlp,2,3,38.06643235775242,20.215981321429933,0.9166265675919474,317.0,79.63596496375037
curated (log),mlp,2,4,46.297454454818734,21.089884367469676,0.8599682873429909,317.0,95.65794563554726
curated (log),ridge,0,0,38.349657626375446,20.307714744090354,0.9171784494251659,318.0,84.58234277249657
curated (log),ridge,0,1,35.95929294407511,19.033229204297495,0.9172141037243169,317.0,70.79464101824283
curated (log),ridge,0,2,36.395850199965786,19.570052662832918,0.9035874223790468,317.0,71.13166551028482
curated (log),ridge,0,3,31.838234383948826,17.785981841475397,0.9126658114843081,317.0,72.8086096610752
curated (log),ridge,0,4,42.05157805779453,23.743937694751843,0.914202428229864,317.0,84.67031918187038
curated (log),ridge,1,0,35.33293607643933,19.493809501803995,0.9327470040888517,318.0,75.0274838975222
curated (log),ridge,1,1,40.046882545787774,20.76602200804582,0.8896859776446638,317.0,79.1745167215597
curated (log),ridge,1,2,36.05043905087651,20.425516488814992,0.912873319038726,317.0,71.39994763614523
curated (log),ridge,1,3,38.1840529141082,20.779283084612846,0.9210927397748699,317.0,83.9291807387463
curated (log),ridge,1,4,32.93681274805016,18.97921571282446,0.9166264227871769,317.0,69.65293292033299
curated (log),ridge,2,0,38.69152461095045,21.10859421738129,0.9053317346226168,318.0,80.26501054903497
curated (log),ridge,2,1,36.894313896516906,20.06032680578286,0.9021301251492782,317.0,79.8820780189659
curated (log),ridge,2,2,40.39941086482986,20.850039077099304,0.9044971379106653,317.0,89.56388327552513
curated (log),ridge,2,3,34.64887764662168,18.691427590676266,0.9309248761588447,317.0,72.76538000385962
curated (log),ridge,2,4,33.07086268529722,19.05346092559066,0.9285498372547336,317.0,61.44812667668417
curated (log),xgboost,0,0,42.28624830132396,17.42134814677305,0.8993025005534284,318.0,97.77941787219126
curated (log),xgboost,0,1,33.82240558103416,15.592676974550844,0.9267608907556832,317.0,62.801357045450835
curated (log),xgboost,0,2,41.14967517810431,17.33889573334607,0.876756853112851,317.0,80.68851807875971
curated (log),xgboost,0,3,26.03925073495688,14.854433859978805,0.9415824545513161,317.0,54.08474713899353
curated (log),xgboost,0,4,41.74098724064853,17.623291497652556,0.9154651407840291,317.0,83.54441782214627
curated (log),xgboost,1,0,35.313931227841394,15.071947599437403,0.9328193325962679,318.0,73.73991149039965
curated (log),xgboost,1,1,37.718480405526996,17.04632442193353,0.9021407985085819,317.0,67.63973829652033
curated (log),xgboost,1,2,39.94193521036243,19.31227693653576,0.8930481603002849,317.0,78.31877766624052
curated (log),xgboost,1,3,43.14873247005978,17.147652762347207,0.8992398041712485,317.0,100.2089546716162
curated (log),xgboost,1,4,38.490534160933,16.498026470989625,0.8861394780210254,317.0,88.43664679527028
curated (log),xgboost,2,0,39.42594808935834,18.741956974667726,0.901703733023801,318.0,82.35195373501212
curated (log),xgboost,2,1,42.20778143629774,18.31275737258478,0.8719100057708946,317.0,95.1846780194424
curated (log),xgboost,2,2,41.22676006486205,17.221270471430156,0.9005454321623166,317.0,92.00486574843494
curated (log),xgboost,2,3,38.540718942917465,16.163814101377664,0.9145360516510059,317.0,80.59156033639266
curated (log),xgboost,2,4,35.88632718678724,16.692381970284163,0.9158662592234197,317.0,66.71537312288064
curated (log),xgboost_per_family,0,0,47.59824845445304,19.370599287340426,0.8725678584768113,317.0,111.26638117915184
curated (log),xgboost_per_family,0,1,38.162411613068,17.710078433281623,0.9045699470556662,316.0,74.68874829386218
curated (log),xgboost_per_family,0,2,40.37514829109854,17.997159758470755,0.8803321820556724,316.0,79.25158043384182
curated (log),xgboost_per_family,0,3,27.980420221546392,15.74719623741559,0.9325480043449755,317.0,55.79208369019312
curated (log),xgboost_per_family,0,4,44.85436717190912,18.071014348891588,0.9023842561283584,317.0,91.55618317389332
curated (log),xgboost_per_family,1,0,37.77190819894249,15.64834084507972,0.9231418314988102,318.0,79.04601987432335
curated (log),xgboost_per_family,1,1,39.67236768675357,16.906116519987187,0.8917396234906884,317.0,76.6876436739171
curated (log),xgboost_per_family,1,2,40.53724359314113,18.87406872246465,0.8898924426482191,316.0,77.46993217929214
curated (log),xgboost_per_family,1,3,46.00026445790833,19.091233654654232,0.8854820474128839,317.0,106.69185173352803
curated (log),xgboost_per_family,1,4,33.559230885492035,15.305632673952132,0.9103094155542972,315.0,74.26230741600453
curated (log),xgboost_per_family,2,0,38.94211333438791,19.124697306481977,0.9017597841175425,317.0,77.87863272976972
curated (log),xgboost_per_family,2,1,40.710128664585035,17.95433301390057,0.8800054169519141,316.0,87.11073323505256
curated (log),xgboost_per_family,2,2,45.318007500875346,17.609534826714068,0.8798267138855413,317.0,104.5504542647254
curated (log),xgboost_per_family,2,3,39.94553798643632,18.22274861114888,0.9082752968811024,316.0,79.66527943562664
curated (log),xgboost_per_family,2,4,38.34109822181299,17.366880417257125,0.9039624060448452,317.0,74.60797985082868
