model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,4,33.8740941277263,42.43987721946252
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,4,8.691138864161474,42.95035489112884
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,4,22.734806542369856,50.16298695563496
ensemble,,,curated (log),0,4,19.39985124091365,39.859199040314294
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}}",,curated (log),0,4,17.854511891925966,44.4234254700004
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,4,33.533313291315594,42.12314960542155
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,4,8.73185076630649,42.691210647577925
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,4,28.543894698853798,46.802815526595126
ensemble,,,curated (log) + family,0,4,21.317968219385058,40.621443884818255
ridge,"{""regressor__model__alpha"": 10}",0.0,old 12,1,0,39.20394921732547,37.440307226690955
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,0,19.0448216855846,33.7849585968712
