model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,1,1,20.167263704864755,24.245945716157944
ensemble,,,curated,1,1,14.06810381815727,21.339614387094624
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log),1,1,23.039968652636116,22.505969127661388
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),1,1,4.293489728288829,24.87197226817797
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",1.0,curated (log),1,1,29.317721146048466,28.07749078773185
ensemble,,,curated (log),1,1,15.719115157204268,20.70712504972185
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.01}}",,curated (log),1,1,10.053676479971465,20.39089118127972
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,1,1,22.304678938978167,22.203264362575695
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,1,1,4.431510809896684,25.033027130380358
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,1,1,20.357030871009666,20.778654742062294
ensemble,,,curated (log) + family,1,1,13.87850086677155,20.574082773503424
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,1,2,29.2333802599759,40.085215624047464
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,2,10.808689918812796,38.0932156850034
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,2,17.169567783462085,29.27087490510428
ensemble,,,old 12,1,2,16.48128227587083,33.09554369354693
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,1,2,21.860145896897397,35.441655168494286
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,1,2,4.435651026726761,34.79912117272103
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,1,2,19.133554792422704,31.499627893674386
ensemble,,,curated,1,2,12.76228702879877,31.684439026992827
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),1,2,20.52881793102692,33.55054613278475
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),1,2,4.435651026726761,34.79912117272103
