cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
Adrenalone,,,0,not_found
4-Aminoacetophenone,C99923,567.2,1,found
4-Nitrotoluene,C99990,511.65,7,found
p-Anisic acid,C100094,,0,no_boiling_point
4-Ethylnitrobenzene,C100129,518.7,1,found
4'-Nitroacetophenone,C100196,475.2,2,found
Terephthalic acid,C100210,,0,no_boiling_point
4-Nitrophenethyl alcohol,C100276,,0,no_boiling_point
Benzylsulfonic acid,,,0,not_found
Cyclamic acid,C100889,,0,no_boiling_point
N-Benzyldiethanolamine,,,0,not_found
Edetol,,,0,not_found
Triethanolamine,C102716,,0,no_boiling_point
N-Butyldiethanolamine,C102794,,0,no_boiling_point
3-Phenylpropanamide,C102932,,0,no_boiling_point
Boric Acid,C10043353,,0,no_boiling_point
2-Phenylacetamide,C103811,,0,no_boiling_point
4-Nitrosophenol,C104916,,0,no_boiling_point
N-Methyldiethanolamine,,,0,not_found
12-Hydroxystearic acid,C106149,,0,no_boiling_point
Quinhydrone,C106343,,0,no_boiling_point
p-Phenylenediamine,C106503,540.2,1,found
Isethionic Acid,,,0,not_found
Hexylene Glycol,C107415,471.2,4,found
Butylene Glycol,,,0,not_found
Cyanoacetamide,C107915,,0,no_boiling_point
1-Nitropropane,C108032,404.53,6,found
Malonamide,C108134,,0,no_boiling_point
m-Phenylenediamine,C108452,556.2,1,found
Melamine,C108781,,0,no_boiling_point
Cyanuric acid,,,0,not_found
2-Hydrazinoethanol,C109842,,0,no_boiling_point
Succinamide,C110145,,0,no_boiling_point
Diisopropanolamine,C110974,,0,no_boiling_point
Diglycolic acid,C110996,,0,no_boiling_point
Aminoethylethanolamine,,,0,not_found
Diethanolamine,C111422,544.2,1,found
Diethylene glycol,C111466,518.65,6,found
Octadecyltrichlorosilane,C112049,,0,no_boiling_point
Triethylene Glycol,C112276,551.5,6,found
Lethane,C112561,,0,no_boiling_point
Tetraethylene Glycol,C112607,601.2,2,found
1-Bromohexadecane,C112823,609.2,1,found
Behenic Acid,C112856,,0,no_boiling_point
1-Bromooctadecane,C112890,,0,no_boiling_point
Stearyl Alcohol,C112925,,0,no_boiling_point
Ergotamine,C113155,,0,no_boiling_point
Sulfonmethane,C115242,,0,no_boiling_point
Chlorendic Acid,C115286,,0,no_boiling_point
Mephobarbital,C115388,,0,no_boiling_point
Phenallymal,C115435,,0,no_boiling_point
Talbutal,C115446,,0,no_boiling_point
Paramethadione,C115673,,0,no_boiling_point
Tecnazene,C117180,577.2,1,found
2-Aminoanthraquinone,C117793,,0,no_boiling_point
Etryptamine,C2235907,,0,no_boiling_point
Maltol,C118718,,0,no_boiling_point
Trinitrotoluene,C118967,,0,no_boiling_point
5-Iodosalicylic acid,,,0,not_found
2-Nitrodiphenylamine,C119755,,0,no_boiling_point
Arsthinol,,,0,not_found
N-Phenyldiethanolamine,C120070,,0,no_boiling_point
Scoparone,C120081,,0,no_boiling_point
2-Naphthoxyacetic acid,C120230,,0,no_boiling_point
2-Imidazolidone,C120934,,0,no_boiling_point
Isoproterenone,,,0,not_found
Vanillic Acid,C121346,,0,no_boiling_point
Sulfanilic acid,C121573,,0,no_boiling_point
Carbarsone,,,0,not_found
3'-Nitroacetophenone,C121891,475.2,1,found
Isophthalic acid,,,0,not_found
3-Nitrobenzoic acid,C121926,,0,no_boiling_point
Isopropyldiethanolamine,C121937,,0,no_boiling_point
1-Hydroxyanthraquinone,C129431,,0,no_boiling_point
Pamoic acid,,,0,not_found
Kappadione,,,0,not_found
Dioxybenzone,C131533,,0,no_boiling_point
