strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
qlogei_target,11,100,861,385.15,False,56,"3,5-Dimethylhex-2-ene"
qlogei_target,11,101,628,417.15,False,56,1-Tert-butoxy-2-propanol
qlogei_target,11,102,224,406.15,False,56,"2,4-Dimethyl-2-pentanol"
qlogei_target,11,103,484,396.15,False,56,Oct-3-ene
qlogei_target,11,104,77,309.21,False,56,Pentane
qlogei_target,11,105,50,445.15,False,56,2-Ethylhexylamine
qlogei_target,11,106,256,705.15,False,56,Octacosane
qlogei_target,11,107,285,408.15,False,56,"3,5-Dimethylheptane"
qlogei_target,11,108,706,612.15,False,56,2-Methylnonadecane
qlogei_target,11,109,614,738.15,False,56,1-Dotriacontene
qlogei_target,11,110,1216,457.05,True,57,"3,3-Dimethylnon-4-yne"
qlogei_target,11,111,30,447.15,False,57,Pinacol
qlogei_target,11,112,663,506.65,False,57,"3,4-Hexanediol"
qlogei_target,11,113,1062,547.62,False,57,trans-2-Undecen-1-ol
qlogei_target,11,114,548,428.9,False,57,5-Hexen-1-ol
qlogei_target,11,115,186,299.05,False,57,"1,4-Pentadiene"
qlogei_target,11,116,139,469.65,True,58,"3-Butene-1,2-diol"
qlogei_target,11,117,588,353.15,False,58,"N,N-Dimethylisobutylamine"
qlogei_target,11,118,21,266.75,False,58,Methylamine
qlogei_target,11,119,788,471.65,True,59,4-Undecyne
qlogei_target,11,120,105,423.95,False,59,Nonane
qlogei_target,11,121,335,379.65,False,59,3-Butyn-2-ol
qlogei_target,11,122,816,343.15,False,59,"3,3-Dimethyl-1-pentyne"
qlogei_target,11,123,577,326.45,False,59,N-Methylisopropylamine
qlogei_target,11,124,126,479.15,False,59,"2,5-Dimethyl-3-hexyne-2,5-diol"
qlogei_target,11,125,940,488.15,False,59,"N,N-Dimethylnonylamine"
qlogei_target,11,126,403,398.15,False,59,4-Methyl-1-penten-3-OL
qlogei_target,11,127,799,404.15,False,59,"2-Butene-1,4-diol"
qlogei_target,11,128,393,392.65,False,59,But-2-en-1-ol
qlogei_target,11,129,776,414.08,False,59,7-Methyl-3-octyne
qlogei_target,11,130,620,369.35,False,59,N-Isopropylpropylamine
qlogei_target,11,131,670,457.15,True,60,4-Methyl-1-heptanol
qlogei_target,11,132,592,371.15,False,60,N-tert-Butylisopropylamine
qlogei_target,11,133,625,466.65,True,61,1-Nonen-3-ol
qlogei_target,11,134,870,426.96,False,61,"2,2,4,4-Tetramethylhexane"
qlogei_target,11,135,917,473.15,False,61,3-Methyl-7-ethyl-nonane
qlogei_target,11,136,586,423.15,False,61,2-Pentyn-1-ol
qlogei_target,11,137,295,410.15,False,61,"2,2,5,5-Tetramethylhexane"
qlogei_target,11,138,9,460.45,True,62,Propylene Glycol
qlogei_target,11,139,262,654.15,False,62,Tricosane
qlogei_target,11,140,357,368.15,False,62,2-Methyl-2-hexene
qlogei_target,11,141,104,444.15,False,62,2-Butoxyethanol
qlogei_target,11,142,189,336.55,False,62,1-Hexene
qlogei_target,11,143,1159,478.0,False,62,"3,3-Diethyloctane"
qlogei_target,11,144,578,414.15,False,62,"1,8-Nonadiene"
qlogei_target,11,145,1009,546.96,False,62,7-Pentadecene
qlogei_target,11,146,330,451.15,False,62,5-Decyne
qlogei_target,11,147,667,422.15,False,62,3-Methylhexylamine
qlogei_target,11,148,1098,746.15,False,62,1-Tritriacontene
qlogei_target,11,149,280,444.15,False,62,1-Decene
qlogei_target,11,150,151,560.05,False,62,Hexadecane
random,12,1,311,584.2,False,0,2-Methylheptadecane
random,12,2,236,395.15,False,0,2-Methyl-2-heptene
random,12,3,727,492.55,False,0,3-Dodecyne
random,12,4,248,591.15,False,0,1-Pentadecanol
random,12,5,760,405.15,False,0,"2,4-Dimethyl-4-penten-2-ol"
random,12,6,1178,452.15,False,0,"2,3,4-Trimethylhexan-3-ol"
random,12,7,437,433.15,False,0,"2,2,3,3-Tetramethylhexane"
random,12,8,223,416.15,False,0,"3,3-Dimethyl-1-butanol"
random,12,9,1210,450.15,False,0,3-Methyl-4-isopropylheptane
random,12,10,80,388.65,False,0,N-Methylethylenediamine
random,12,11,1215,449.15,False,0,"2,4,5-Trimethyloctane"
random,12,12,315,521.05,False,0,2-Methyltridecane
random,12,13,1182,453.15,True,1,4-Ethyl-5-methyloctane
random,12,14,79,350.15,False,1,Butylamine
random,12,15,765,483.82,False,1,2-Octyn-1-ol
random,12,16,289,391.35,False,1,3-Ethyl-3-methylpentane
random,12,17,603,433.95,False,1,"3,6-Dimethyloctane"
random,12,18,839,479.15,False,1,6-Methylundecane
random,12,19,439,413.75,False,1,"2,3-Dimethylheptane"
random,12,20,1188,455.15,True,2,3-Ethyl-6-methyloctane
